Pabrik,Tahun,Tipe,Pintu,Kursi,CC,Daerah,Harga
Daihatsu,2019-2023,Manual,5,5,996,Jabodetabek,188000000
Daihatsu,2019-2023,Manual,5,5,996,Jabodetabek,190000000
Toyota,2019-2023,Automatic,5,5,996,Jabodetabek,215000000
Daihatsu,2019-2023,Automatic,5,5,996,Luar Jabodetabek,220000000
Toyota,2019-2023,Automatic,5,5,996,Jabodetabek,222000000
Toyota,2019-2023,Automatic,5,5,996,Luar Jabodetabek,227000000
Toyota,2019-2023,Automatic,5,5,996,Jabodetabek,230000000
Toyota,2019-2023,Automatic,5,5,996,Luar Jabodetabek,230000000
Toyota,2019-2023,Automatic,5,5,996,Jabodetabek,231000000
Toyota,2019-2023,Automatic,5,5,996,Jabodetabek,231000000
Daihatsu,2019-2023,Automatic,5,5,996,Jabodetabek,215000000
Toyota,2019-2023,Automatic,5,5,996,Jabodetabek,220000000
Toyota,2019-2023,Automatic,5,5,996,Jabodetabek,250000000
Toyota,2014-2018,Manual,5,5,998,Jabodetabek,87000000
Daihatsu,2014-2018,Automatic,5,5,998,Luar Jabodetabek,97000000
Toyota,2014-2018,Manual,5,5,998,Luar Jabodetabek,103000000
Toyota,2014-2018,Automatic,5,5,998,Jabodetabek,87000000
Toyota,2014-2018,Automatic,5,5,998,Luar Jabodetabek,87000000
Daihatsu,2014-2018,Manual,5,5,998,Luar Jabodetabek,89000000
Toyota,2014-2018,Manual,5,5,998,Luar Jabodetabek,90000000
Toyota,2014-2018,Manual,5,5,998,Luar Jabodetabek,90000000
Daihatsu,2014-2018,Automatic,5,5,998,Jabodetabek,93000000
Daihatsu,2014-2018,Manual,5,5,998,Jabodetabek,96000000
Toyota,2014-2018,Manual,5,5,998,Jabodetabek,97000000
Toyota,2014-2018,Manual,5,5,998,Jabodetabek,97000000
Toyota,2014-2018,Manual,5,5,998,Jabodetabek,98000000
Toyota,2014-2018,Automatic,5,5,998,Luar Jabodetabek,99000000
Daihatsu,2014-2018,Manual,5,5,998,Luar Jabodetabek,105000000
Daihatsu,2014-2018,Manual,5,5,998,Luar Jabodetabek,83000000
Daihatsu,2014-2018,Automatic,5,5,998,Luar Jabodetabek,92000000
Daihatsu,2014-2018,Manual,5,5,998,Luar Jabodetabek,96000000
Daihatsu,2014-2018,Manual,5,5,998,Luar Jabodetabek,98000000
Daihatsu,2014-2018,Manual,5,5,998,Jabodetabek,99000000
Toyota,2014-2018,Manual,5,5,998,Jabodetabek,101000000
Daihatsu,2014-2018,Manual,5,5,998,Luar Jabodetabek,109000000
Daihatsu,2014-2018,Manual,5,5,998,Luar Jabodetabek,102000000
Daihatsu,2019-2023,Manual,5,5,998,Jabodetabek,99000000
Daihatsu,2019-2023,Manual,5,5,998,Luar Jabodetabek,106000000
Daihatsu,2019-2023,Manual,5,5,998,Jabodetabek,112000000
Suzuki,2019-2023,Manual,5,4,998,Luar Jabodetabek,130000000
Suzuki,2019-2023,Automatic,5,4,998,Jabodetabek,145000000
Suzuki,<=2013,Automatic,5,5,1197,Jabodetabek,105000000
Suzuki,2014-2018,Automatic,5,5,1197,Luar Jabodetabek,100000000
Daihatsu,2014-2018,Automatic,5,7,1197,Jabodetabek,111000000
Toyota,2014-2018,Manual,5,7,1197,Luar Jabodetabek,113000000
Daihatsu,2014-2018,Automatic,5,7,1197,Jabodetabek,114000000
Toyota,2014-2018,Automatic,5,7,1197,Jabodetabek,99000000
Toyota,2014-2018,Manual,5,7,1197,Luar Jabodetabek,107000000
Daihatsu,2014-2018,Automatic,5,7,1197,Luar Jabodetabek,117000000
Toyota,2014-2018,Manual,5,7,1197,Luar Jabodetabek,117500000
Toyota,2014-2018,Automatic,5,7,1197,Luar Jabodetabek,127500000
Daihatsu,2014-2018,Manual,5,5,1197,Luar Jabodetabek,111000000
Toyota,2014-2018,Manual,5,5,1197,Luar Jabodetabek,113000000
Suzuki,2014-2018,Manual,5,5,1197,Luar Jabodetabek,115000000
Suzuki,2014-2018,Manual,5,5,1197,Luar Jabodetabek,115000000
Daihatsu,2014-2018,Automatic,5,5,1197,Luar Jabodetabek,116000000
Daihatsu,2014-2018,Automatic,5,5,1197,Luar Jabodetabek,122000000
Suzuki,2014-2018,Automatic,5,5,1197,Luar Jabodetabek,129000000
Daihatsu,2014-2018,Automatic,5,7,1197,Luar Jabodetabek,109000000
Daihatsu,2014-2018,Automatic,5,7,1197,Jabodetabek,116000000
Toyota,2014-2018,Automatic,5,7,1197,Jabodetabek,118000000
Daihatsu,2014-2018,Automatic,5,7,1197,Luar Jabodetabek,126000000
Toyota,2014-2018,Automatic,5,7,1197,Jabodetabek,131000000
Suzuki,2014-2018,Manual,5,5,1197,Jabodetabek,106000000
Daihatsu,2014-2018,Automatic,5,5,1197,Luar Jabodetabek,109000000
